SRAnum biosample_num
SRR4140160 SAMN03097705
 SAMN03099801
SRR4140231 SAMN03159286
SRR4140107 SAMN03159294
SRR4140234 SAMN03159336
SRR4140250 SAMN03159368
SRR4140106 SAMN03159428
SRR4139955 SAMN03159434
SRR4140147 SAMN03159436
SRR4140118 SAMN03159468
SRR4140115 SAMN03159514
 SAMN03280174
 SAMN03280194
SRR1763668 SAMN03287031
SRR7611488 SAMN03836970
SRR2244274 SAMN04011456
SRR4025842 SAMN04014849
SRR2449301 SAMN04096280
SRR2544781 SAMN04122808
SRR2544783 SAMN04122811
SRR3057127 SAMN04339729
SRR3095377 SAMN04393385
SRR3168645 SAMN04456586
SRR4140259 SAMN04487773
SRR4148492 SAMN04487790
SRR4148493 SAMN04487791
SRR3170538 SAMN04495801
 SAMN04497989
 SAMN04497990
SRR6701683 SAMN04521852
SRR6701902 SAMN04521877
SRR6686533 SAMN04521878
SRR6701907 SAMN04521882
SRR6702131 SAMN04521909
SRR6702207 SAMN04521927
SRR6702212 SAMN04521933
SRR3290093 SAMN04571745
SRR3982095 SAMN05170059
SRR3982096 SAMN05170060
SRR3982101 SAMN05170065
SRR3982102 SAMN05170066
SRR3982279 SAMN05170079
SRR3982283 SAMN05170080
SRR3982284 SAMN05170081
SRR3987106 SAMN05170089
SRR3987107 SAMN05170090
SRR3996247 SAMN05170130
SRR3996257 SAMN05170140
SRR3996263 SAMN05170146
SRR3996264 SAMN05170147
SRR3996267 SAMN05170150
SRR3996269 SAMN05170152
SRR4017815 SAMN05170160
SRR4017816 SAMN05170161
SRR4017817 SAMN05170162
SRR4017818 SAMN05170163
SRR4017819 SAMN05170164
SRR4017858 SAMN05170203
SRR4017884 SAMN05170208
SRR4017907 SAMN05170231
SRR4017910 SAMN05170234
SRR4017911 SAMN05170235
SRR4017912 SAMN05170236
SRR4017913 SAMN05170237
SRR4017917 SAMN05170241
SRR4035127 SAMN05170267
SRR4035128 SAMN05170268
SRR4035129 SAMN05170269
SRR4035130 SAMN05170270
SRR4035131 SAMN05170271
SRR4035132 SAMN05170272
SRR4065648 SAMN05170317
SRR4065665 SAMN05170326
SRR4065672 SAMN05170333
SRR4065674 SAMN05170335
SRR4065701 SAMN05170346
SRR4065705 SAMN05170350
SRR4069217 SAMN05170359
SRR4069218 SAMN05170360
SRR4217681 SAMN05216286
SRR4235166 SAMN05428986
SRR4235354 SAMN05444841
 SAMN05462048
SRR4019405 SAMN05510458
SRR4294849 SAMN05806168
SRR5120208 SAMN06007767
SRR5120213 SAMN06007772
SRR5093708 SAMN06124915
SRR5093710 SAMN06124923
 SAMN06237083
 SAMN06269461
 SAMN06269473
SRR5237404 SAMN06311515
SRR5325434 SAMN06450651
SRR5329998 SAMN06450999
SRR5330051 SAMN06451124
SRR5326309 SAMN06451244
SRR5326329 SAMN06451350
SRR5329632 SAMN06451422
SRR5329727 SAMN06451481
SRR5330310 SAMN06451892
SRR5330312 SAMN06451894
SRR5329945 SAMN06451973
SRR5329722 SAMN06452035
SRR5325560 SAMN06452222
SRR5329895 SAMN06452741
SRR5330018 SAMN06452913
SRR5325756 SAMN06453135
SRR5330225 SAMN06453372
SRR5330229 SAMN06453377
SRR5329781 SAMN06453431
SRR5330165 SAMN06453471
SRR5325662 SAMN06453850
SRR5330287 SAMN06453889
SRR5326325 SAMN06453915
SRR5325390 SAMN06454224
SRR5325637 SAMN06454253
SRR5329805 SAMN06454326
SRR5329841 SAMN06454341
SRR5325449 SAMN06454491
SRR5325426 SAMN06454560
SRR5329844 SAMN06454615
SRR5329633 SAMN06454769
SRR5330205 SAMN06455204
SRR5330022 SAMN06455326
SRR5326319 SAMN06455364
SRR5330369 SAMN06455538
SRR5325729 SAMN06455590
SRR5326347 SAMN06455924
SRR5329599 SAMN06456045
SRR5325641 SAMN06456117
SRR5330157 SAMN06456256
SRR5330170 SAMN06456260
SRR5329639 SAMN06456999
SRR5325570 SAMN06457004
SRR5325418 SAMN06457145
SRR5325519 SAMN06457282
SRR5325513 SAMN06457285
SRR5329733 SAMN06457436
SRR5329693 SAMN06457695
SRR5398451 SAMN06672150
SRR5420066 SAMN06680405
SRR5420061 SAMN06680410
SRR5445920 SAMN06754734
SRR5445914 SAMN06754740
 SAMN06887690
SRR5806878 SAMN07325905
SRR5810507 SAMN07332507
SRR5810508 SAMN07332508
SRR5862479 SAMN07410713
SRR5862470 SAMN07410716
 SAMN07425777
 SAMN07503715
 SAMN07503716
 SAMN07545917
 SAMN07571695
 SAMN07571739
 SAMN07571741
 SAMN07571821
SRR6676758 SAMN07610156
SRR6676759 SAMN07610157
SRR6676756 SAMN07610158
SRR6676757 SAMN07610159
SRR6676754 SAMN07610160
SRR6676755 SAMN07610161
SRR6676752 SAMN07610162
SRR6676753 SAMN07610163
SRR6676763 SAMN07610164
